TEMPS SLEEP= 5000000;;;;;;;;;;;;;;;;;;;TEMPS SLEEP= 2500000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;limit=20;;;;;limit=10;;;;;limit=200;;;
limit = 20;;;;;limit=10;;;;;limit=200;;;;limit=50;;;;;0,398405;;;;;0,398522;;;;;0,396965;;;
0,454551;;;;;0,399424;;;;;0,39864;;;;0,398553;;;;;0,397959;;;;;0,397708;;;;;0,402051;;;
0,426498;;;;;0,399662;;;;;0,400466;;;;0,398742;;;;;0,394607;;;;;0,396488;;;;;0,405765;;;
0,397176;ECARTTYPE;0,004858838;;;0,400463;ECARTTYPE;0,00135193;;;0,398688;ECARTYPE;0,001870779;;0,398595;ECARTYPE;0,002837589;;;0,39589;ECARTTYPE;0,001984414;;;0,396629;ECARTTYPE;0,002776261;;;0,400887;ECARTTYPE;0,002999069;
0,398196;MIN;0,381242;;;0,397983;MIN;0,389362;;;0,398309;MIN;0,396042;;0,398393;MIN;0,385907;;;0,395985;MIN;0,385292;;;0,397748;MIN;0,37102;;;0,405075;MIN;0,396025;
0,39142;MAX;0,454551;;;0,3988;MAX;0,402473;;;0,398044;MAX;0,405409;;0,396616;MAX;0,408489;;;0,394885;MAX;0,400316;;;0,397226;MAX;0,403965;;;0,400851;MAX;0,405801;
0,394719;;;;;0,399842;;;;;0,398319;;;;0,397952;;;;;0,397019;;;;;0,39986;;;;;0,396162;;;
0,398175;MAX- MIN;0,073309;;;0,39831;MAX- MIN;0,013111;;;0,398363;MAX- MIN;0,009367;;0,389671;MAX- MIN;0,022582;;;0,396856;MAX- MIN;0,015024;;;0,399939;MAX- MIN;0,032945;;;0,400959;MAX- MIN;0,009776;
0,398437;;;;;0,398923;;;;;0,398501;;;;0,394305;;;;;0,396366;;;;;0,397278;;;;;0,396093;;;
0,398144;;;;;0,399741;;;;;0,39907;;;;0,398286;;;;;0,396557;;;;;0,3971;;;;;0,401521;;;
0,398832;;;;;0,399641;;;;;0,398828;;;;0,398388;;;;;0,396477;;;;;0,397348;;;;;0,402994;;;
0,398218;;;;;0,39926;;;;;0,396882;;;;0,399084;;;;;0,396726;;;;;0,396919;;;;;0,399209;;;
0,398375;;;;;0,39968;;;;;0,401488;;;;0,399048;;;;;0,395572;;;;;0,396627;;;;;0,405462;;;
0,39596;;;;;0,399466;;;;;0,39739;;;;0,398023;;;;;0,396291;;;;;0,397466;;;;;0,401303;;;
0,397619;;;;;0,399198;;;;;0,402514;;;;0,398367;;;;;0,397569;;;;;0,399066;;;;;0,396025;;;
0,399054;;;;;0,396581;;;;;0,399007;;;;0,398469;;;;;0,397031;;;;;0,399433;;;;;0,400885;;;
0,399062;;;;;0,398494;;;;;0,398566;;;;0,398389;;;;;0,393221;;;;;0,400009;;;;;0,396383;;;
0,398999;;;;;0,400908;;;;;0,39794;;;;0,399635;;;;;0,395017;;;;;0,399598;;;;;0,40143;;;
0,399237;;;;;0,400116;;;;;0,398199;;;;0,399937;;;;;0,394675;;;;;0,39979;;;;;0,405617;;;
0,399646;;;;;0,397838;;;;;0,398698;;;;0,397484;;;;;0,395758;;;;;0,399545;;;;;0,400535;;;
0,399102;;;;;0,3989;;;;;0,398826;;;;0,39875;;;;;0,395073;;;;;0,39698;;;;;0,405773;;;
0,400726;;;;;0,399573;;;;;0,398198;;;;0,400276;;;;;0,396534;;;;;0,3979;;;;;0,400856;;;
0,399867;;;;;0,399702;;;;;0,398207;;;;0,400052;;;;;0,396728;;;;;0,399915;;;;;0,396116;;;
0,396124;;;;;0,399643;;;;;0,398238;;;;0,397827;;;;;0,396264;;;;;0,398587;;;;;0,400886;;;
0,397621;;;;;0,399535;;;;;0,398367;;;;0,397904;;;;;0,400316;;;;;0,399712;;;;;0,405774;;;
0,39382;;;;;0,399344;;;;;0,403641;;;;0,398084;;;;;0,397896;;;;;0,397449;;;;;0,401459;;;
0,396639;;;;;0,399545;;;;;0,400943;;;;0,397581;;;;;0,399886;;;;;0,398677;;;;;0,396104;;;
